Date,Brand,Crypto,USD Price,Currency,BO Price,Converted Price,Difference (%),Difference Sign
2025-09-03 14:00:11,BAJI,BTC,110700.0,BDT,13476028.163419118,13465363.48,-0.07916950661101228,Negative
2025-09-03 14:00:11,BAJI,BTC,110700.0,INR,9752691.391786149,9747967.53,-0.04844822736601932,Negative
2025-09-03 14:00:11,BAJI,BTC,110700.0,PKR,31351492.750631012,31349001.84,-0.007945425781009308,Negative
2025-09-03 14:00:11,BAJI,BTC,110700.0,NPR,15636916.11551494,15604059.03,-0.21034609426817072,Negative
2025-09-03 14:00:16,BAJI,ETH,4314.78,BDT,526136.5670216827,524842.65,-0.24623075332535788,Negative
2025-09-03 14:00:16,BAJI,ETH,4314.78,INR,380824.8564458407,379948.83,-0.23029882905999383,Negative
2025-09-03 14:00:16,BAJI,ETH,4314.78,PKR,1224037.7184427793,1221897.44,-0.1750069649550273,Negative
2025-09-03 14:00:16,BAJI,ETH,4314.78,NPR,609616.6057911464,608203.09,-0.23213876340342077,Negative
2025-09-03 14:00:17,JEETBUZZ,BTC,110700.0,BDT,13476028.163419118,13465363.48,-0.07916950661101228,Negative
2025-09-03 14:00:17,JEETBUZZ,BTC,110700.0,INR,9752691.391786149,9747967.53,-0.04844822736601932,Negative
2025-09-03 14:00:17,JEETBUZZ,BTC,110700.0,PKR,31351492.750631012,31349001.84,-0.007945425781009308,Negative
2025-09-03 14:00:21,JEETBUZZ,ETH,4314.78,BDT,526136.5670216827,524842.65,-0.24623075332535788,Negative
2025-09-03 14:00:21,JEETBUZZ,ETH,4314.78,INR,380824.8564458407,379948.83,-0.23029882905999383,Negative
2025-09-03 14:00:21,JEETBUZZ,ETH,4314.78,PKR,1224037.7184427793,1221897.44,-0.1750069649550273,Negative
2025-09-03 14:00:27,BAGH,BTC,110700.0,BDT,13476028.163419118,13465363.48,-0.07916950661101228,Negative
2025-09-03 14:00:29,BAGH,ETH,4314.78,BDT,526136.5670216827,524842.65,-0.24623075332535788,Negative
