Date,Brand,Crypto,Fiat,Binance Rate,Top1_Nick,Top2_Nick,Top3_Nick,Top4_Nick,Top5_Nick,Top1_Orders,Top2_Orders,Top3_Orders,Top4_Orders,Top5_Orders,Top1_Price,Top2_Price,Top3_Price,Top4_Price,Top5_Price
2025-09-03 14:00:12,BAJI,USDT,BDT,125.08800000000001,TAQWA_EXPRESS,TAQWA_EXPRESS,Bkash-Nagad_Cashout,BEST_SERVICES_BD,P2B-Trade-Merchant-M,15825,15825,13177,5291,4856,125.13,125.08,125.01,125.0,125.22
2025-09-03 14:00:14,BAJI,USDT,INR,91.264,LedgerTower,ShitalSarkar011,NEXT_BILLIONAIRE_,Thalapathy_sugumar,Shiv_Traders_Vip,2494,1918,1900,1559,1397,87.0,92.4,92.26,92.35,92.31
2025-09-03 14:00:15,BAJI,USDT,PKR,291.496,Diamond-Exchanger,ZA--Exchange--,MJ_EXCHANGER,Honey_Traderz,Crypto_M_Queen,14480,12220,12095,10489,8517,291.65,291.45,291.47,291.41,291.5
2025-09-03 14:00:16,BAJI,USDT,NPR,128.972,TURBO TRUST      Pro,TURBO TRUST      Pro,traderverified,traderverified,traderverified,645,645,555,555,555,115.58,114.17,140.95,138.14,136.02
2025-09-03 14:00:19,JEETBUZZ,USDT,BDT,125.08800000000001,TAQWA_EXPRESS,TAQWA_EXPRESS,Bkash-Nagad_Cashout,BEST_SERVICES_BD,P2B-Trade-Merchant-M,15825,15825,13177,5291,4856,125.13,125.08,125.01,125.0,125.22
2025-09-03 14:00:20,JEETBUZZ,USDT,INR,91.236,LedgerTower,ShitalSarkar011,NEXT_BILLIONAIRE_,Thalapathy_sugumar,Jeevan777,2494,1918,1900,1559,1443,87.0,92.4,92.26,92.35,92.17
2025-09-03 14:00:21,JEETBUZZ,USDT,PKR,291.46400000000006,ZA--Exchange--,MJ_EXCHANGER,Honey_Traderz,Crypto_M_Queen,SHANI_EXCHANGE,12220,12095,10489,8517,8103,291.45,291.47,291.41,291.5,291.49
2025-09-03 14:00:24,SIX6S,USDT,BDT,125.08800000000001,TAQWA_EXPRESS,TAQWA_EXPRESS,Bkash-Nagad_Cashout,BEST_SERVICES_BD,P2B-Trade-Merchant-M,15825,15825,13177,5291,4856,125.13,125.08,125.01,125.0,125.22
2025-09-03 14:00:25,SIX6S,USDT,INR,91.236,LedgerTower,ShitalSarkar011,NEXT_BILLIONAIRE_,Thalapathy_sugumar,Jeevan777,2494,1918,1900,1559,1443,87.0,92.4,92.26,92.35,92.17
2025-09-03 14:00:26,SIX6S,USDT,PKR,291.46400000000006,ZA--Exchange--,MJ_EXCHANGER,Honey_Traderz,Crypto_M_Queen,SHANI_EXCHANGE,12220,12095,10489,8517,8103,291.45,291.47,291.41,291.5,291.49
2025-09-03 14:00:29,BAGH,USDT,BDT,125.08800000000001,TAQWA_EXPRESS,TAQWA_EXPRESS,Bkash-Nagad_Cashout,BEST_SERVICES_BD,P2B-Trade-Merchant-M,15825,15825,13177,5291,4857,125.13,125.08,125.01,125.0,125.22
2025-09-03 14:00:31,24BO,USDT,USD,1.0108000000000001,TelecambioVE,CERU,richard061288,lavishcrook,CAMBIOYASF,1908,1488,920,911,805,1.016,1.017,1.008,1.005,1.008
